Title,Author,Is Part Of,Dissertation,Edition,Publisher,Creation Date,Identifier,Format,Subjects,MESH subjects,Genre,Description,General note,With,Language,Attribution,Contents,Additional Title,Related Titles,Series,Frequency,Bound with,Source,MMS ID,Course Information,Permalink
Estimating Phosphorescent Emission Energies in Ir(III) Complexes using Large-Scale Quantum Computing Simulations,"Genin, Scott N ;  Ryabinkin, Ilya G ;  Paisley, Nathan R ;  Whelan, Sarah O ;  Helander, Michael G ;  Hudson, Zachary M",,,,,2022,DOI: 10.1002/anie.202116175,,,,,"Quantum chemistry simulations that accurately predict the properties of
materials are among the most highly anticipated applications of quantum
computing. It is widely believed that simulations running on quantum computers
will allow for higher accuracy, but there has not yet been a convincing
demonstration that quantum methods are competitive with existing classical
methods at scale. Here we apply the iterative qubit coupled cluster (iQCC)
method on classical hardware to the calculation of the $T_1 \to S_0$ transition
energies in nine phosphorescent iridium complexes, to determine if quantum
simulations have any advantage over traditional computing methods.
Phosphorescent iridium complexes are integral to the widespread
commercialization of organic light-emitting diode (OLED) technology, yet
accurate computational prediction of their emission energies remains a
challenge. Our simulations would require a gate-based quantum computer with a
minimum of 72 fully-connected and error-corrected logical qubits. Since such
devices do not yet exist, we demonstrate the iQCC quantum method using a
special purpose quantum simulator on classical hardware. The results are
compared to a selection of common density-functional theory (DFT) functionals
(B3LYP, CAM-B3LYP, LC-wHPBE), ab initio methods (HF and MP2), and experimental
data. The iQCC quantum method is found to match the accuracy of the fine-tuned
DFT functionals, has a better Pearson correlation coefficient, and still has
considerable potential for systematic improvement. Based on these results, we
anticipate that the iQCC quantum method will have the required accuracy to
design organometallic complexes when deployed on emerging quantum hardware.",,,English,,,,,,,,arXiv.org,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_2111_04169
"Cryptography apocalypse : preparing for the day when quantum computing breaks today's crypto ","Grimes, Roger A., author. ",,,,"Hoboken, New Jersey : Wiley",2020,ISBN : 9781119618218 electronic book; OCLC : (OCoLC)1125113328,1 online resource (275 pages),Data encryption (Computer science); Cryptography; Quantum computing,,,,,,English,Roger A Grimes.,,,,,,,Library Catalog,99949948202461,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/q9fqsr/alma99949948202461
Remote-controlled quantum computing by quantum entanglement,"Wang, Dongyang ;  Liu, Yong ;  Ding, Jiangfang ;  Qiang, Xiaogang ;  Liu, Yingwen ;  Huang, Anqi ;  Fu, Xiang ;  Xu, Ping ;  Deng, Mingtang ;  Yang, Xuejun ;  Wu, Junjie","Optics letters, 2020, Vol.45 (22), p.6298-6301",,,,,ISSN: 0146-9592; EISSN: 1539-4794; DOI: 10.1364/OL.401921,,,,,"Quantum entanglement enables measurement on one party to affect the
other’s state. Based on this peculiar feature, we propose a model of
remote-controlled quantum computing and design an optical scheme to
realize this model for a single qubit. As an experimental
demonstration of this scheme, we further implement three Pauli
operators, Hardmard gate, phase gate, and
π
/
8
gate. The minimal fidelity obtained
by quantum process tomography reaches 82%. Besides, as a potential
application, our model contributes to secure remote quantum
information processing.",,,English,,,,,,,,Optica Publishing Group Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_miscellaneous_2460762477
Quantum reinforcement learning: Comparing quantum annealing and gate-based quantum computing with classical deep reinforcement learning,"Neumann, Niels M. P. ;  de Heer, Paolo B. U. L. ;  Phillipson, Frank","Quantum information processing, 2023, Vol.22 (2), Article 125",,,New York: Springer US,,ISSN: 1573-1332; EISSN: 1573-1332; DOI: 10.1007/s11128-023-03867-9,,Data Structures and Information Theory ;  Mathematical Physics ;  Physics ;  Physics and Astronomy ;  Quantum Computing ;  Quantum Information Technology ;  Quantum Physics ;  Spintronics,,,"In this paper, we present implementations of an annealing-based and a gate-based quantum computing approach for finding the optimal policy to traverse a grid and compare them to a classical deep reinforcement learning approach. We extended these three approaches by allowing for stochastic actions instead of deterministic actions and by introducing a new learning technique called curriculum learning. With curriculum learning, we gradually increase the complexity of the environment and we find that it has a positive effect on the expected reward of a traversal. We see that the number of training steps needed for the two quantum approaches is lower than that needed for the classical approach.",,,English,,,,,,,,KB+ JISC Collections Springer Compact 2019-2021; Accès IHES - Bibliothèque N.H. Kuiper - Springer Standard Collection; SpringerLink Journals - AutoHoldings; Springer Journals Online,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_crossref_primary_10_1007_s11128_023_03867_9
Combining Topological Hardware and Topological Software: Color Code Quantum Computing with Topological Superconductor Networks,"Litinski, Daniel ;  Kesselring, Markus S ;  Eisert, Jens ;  Felix von Oppen","arXiv.org, 2017",,,"Ithaca: Cornell University Library, arXiv.org",,EISSN: 2331-8422; DOI: 10.1103/PhysRevX.7.031048,,Boxes ;  Codes ;  Color ;  Computation ;  Computer architecture ;  Distillation ;  Error correction ;  Error correction & detection ;  Fault tolerance ;  Gates ;  Hardware ;  Hexagonal cells ;  Nanowires ;  Networks ;  Quantum computing ;  Quantum theory ;  Qubits (quantum computing) ;  Software ;  Topological superconductors,,,"We present a scalable architecture for fault-tolerant topological quantum computation using networks of voltage-controlled Majorana Cooper pair boxes, and topological color codes for error correction. Color codes have a set of transversal gates which coincides with the set of topologically protected gates in Majorana-based systems, namely the Clifford gates. In this way, we establish color codes as providing a natural setting in which advantages offered by topological hardware can be combined with those arising from topological error-correcting software for full-fledged fault-tolerant quantum computing. We provide a complete description of our architecture including the underlying physical ingredients. We start by showing that in topological superconductor networks, hexagonal cells can be employed to serve as physical qubits for universal quantum computation, and present protocols for realizing topologically protected Clifford gates. These hexagonal cell qubits allow for a direct implementation of open-boundary color codes with ancilla-free syndrome readout and logical \(T\)-gates via magic state distillation. For concreteness, we describe how the necessary operations can be implemented using networks of Majorana Cooper pair boxes, and give a feasibility estimate for error correction in this architecture. Our approach is motivated by nanowire-based networks of topological superconductors, but could also be realized in alternative settings such as quantum Hall-superconductor hybrids.",,,English,,,,,,,,arXiv.org; Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_arxiv_primary_1704_01589
A bibliometric analysis of quantum computing literature: mapping and evidences from scopus,"Wang, Jiaxing ;  Shen, Lihua ;  Zhou, Wuyuan","Technology analysis & strategic management, 2021, Vol.33 (11), p.1347-1363",,,Abingdon: Routledge,,ISSN: 0953-7325; EISSN: 1465-3990; DOI: 10.1080/09537325.2021.1963429,,Bibliometrics ;  Decision making ;  International cooperation ;  Mapping ;  Quantum computing ;  research hotspots ;  technical trends ;  Technology,,,"Quantum computing is the next-generation technology for future human society. This article aims to give a comprehensive and in-depth analysis of the global development status of quantum computing. First, the latest research hotspots of quantum computing are reviewed. Then multiple bibliometric metrics were used to analyse the current development status, research hotspots, technological trends, and the contribution of authors, institutions, and countries in quantum computing from 2016 to 2020. The results confirm that quantum computing is still under development, with the United States and China in the leading position, from where most critical scholars came. The most important institutions are scattered in the United States, China, and France. The characteristics of international cooperation, research impact, topics with the highest Prominence percentile, distinctive keyphrases, and leading source journals within the field were also analysed. The results may provide a quantitative basis for scientific research and decision-making in quantum computing.",,,English,,,,,,,,International Bibliography of the Social Sciences (IBSS); Taylor & Francis Journals Complete; Taylor and Francis Journals; Taylor & Francis Current Content Access,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_journals_2595304628
Relative multiplexing for minimising switching in linear-optical quantum computing,"Gimeno-Segovia, Mercedes ;  Cable, Hugo ;  Mendoza, Gabriel J ;  Shadbolt, Pete ;  Silverstone, Joshua W ;  Carolan, Jacques ;  Thompson, Mark G ;  O'Brien, Jeremy L ;  Rudolph, Terry","New journal of physics, 2017, Vol.19 (6), p.63013",,,Ithaca: IOP Publishing,,ISSN: 1367-2630; EISSN: 1367-2630; EISSN: 2331-8422; DOI: 10.1088/1367-2630/aa7095; CODEN: NJOPFM,,Computation ;  Energy consumption ;  Entangled states ;  linear optics ;  loqc ;  Multiplexing ;  Optimization ;  Percolation ;  Photonics ;  Physics - Quantum Physics ;  Quantum computing ;  quantum computing architectures ;  Switching,,,"Many existing schemes for linear-optical quantum computing (LOQC) depend on multiplexing (MUX), which uses dynamic routing to enable near-deterministic gates and sources to be constructed using heralded, probabilistic primitives. MUXing accounts for the overwhelming majority of active switching demands in current LOQC architectures. In this manuscript we introduce relative multiplexing (RMUX), a general-purpose optimisation which can dramatically reduce the active switching requirements for MUX in LOQC, and thereby reduce hardware complexity and energy consumption, as well as relaxing demands on performance for various photonic components. We discuss the application of RMUX to the generation of entangled states from probabilistic single-photon sources, and argue that an order of magnitude improvement in the rate of generation of Bell states can be achieved. In addition, we apply RMUX to the proposal for percolation of a 3D cluster state by Gimeno-Segovia et al (2015 Phys. Rev. Lett. 115 020502), and we find that RMUX allows an 2.4× increase in loss tolerance for this architecture.",,,English,,,,,,,,Institute of Physics Journals; Scholars Portal Journals: Open Access; arXiv.org; Institute of Physics Open Access Journal Titles; GFMER Free Medical Journals; DOAJ (Directory of Open Access Journals); Free E- Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_unpaywall_primary_10_1088_1367_2630_aa7095
"Fintech frontiers in quantum computing, fractals, and blockchain distributed ledger: Paradigm shifts and open innovation","Mosteanu, Narcisa Roxana ;  Faccia, Alessio","Journal of open innovation, 2021, Vol.7 (1), p.1-19, Article 19",,,Basel: MDPI,,ISSN: 2199-8531; EISSN: 2199-8531; DOI: 10.3390/joitmc7010019,,20th century ;  Algorithms ;  Application programming interface ;  Artificial intelligence ;  Bank technology ;  Big Data ;  Blockchain ;  Computer security ;  Cryptography ;  cybersecurity ;  Data analysis ;  Digital technology ;  Distributed ledger ;  financial markets ;  Financial services ;  fintech ;  Fractal geometry ;  Fractals ;  Geometry ;  Innovations ;  Physics ;  Quantum computing ;  Science ;  Scientists ;  SWOT analysis ;  Technological change,,,"Among the hot research topics, Fintech is leading the trend in terms of the newest technology applications. The relatively new emerging paradigms in various sciences, such as geometry (fractals), physics (quantum), and database systems (distributed ledger-blockchain), seem to potentially contribute to a greater shift in the framework of the finance industry, bringing also some concerns (cyber-threats). Consistent and extensive investigation of the reasonable potential impact of these new models (and their underlying technologies) is performed, and then tested through a SWOT analysis, as the main objective of this research. Threats and opportunities are always intrinsically driven by the introduction of technological advancements (revolutions). This research confirms that information availability and the increasing interconnection of crosswise applications of each discovery to the different fields of science is determining the rapid succession of revolutions identified by evident large shifts in economic paradigms. The growing computing capacity and the development of increasingly powerful predictive software are leading to a competitive, extremely dynamic, and challenging system. In this context, as shown by history, there is a high possibility of market concentration in which, however, only a few corporations-digital giants-can afford to develop these technologies, consolidating their dominance.",,,English,,,,,,,,ABI/INFORM Global; ProQuest One Business,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_doaj_primary_oai_doaj_org_article_6a1d832bdd62420087151c65810af284
Quantum computing and quantum information storage,"Krylov, Anna I. ;  Doyle, John ;  Ni, Kang-Kuen","Physical chemistry chemical physics : PCCP, 2021, Vol.23 (11)",,,United States: Royal Society of Chemistry,,ISSN: 1463-9076; EISSN: 1463-9084,,algorithms ;  editorial ;  MATHEMATICS AND COMPUTING ;  quantum computing ;  quantum information storage,,,"Quantum storage, transmission, and processing is the future of information technology. Here, the promise of quantum hardware stems from the inherent complexity of an entangled quantum system—the size of the wave-function scales exponentially with the number of particles, whether represented in real space or in a parameter space. In contrast, a classical N-body system can be completely represented by only 6N variables (positions and momenta of all particles). This complexity of quantum systems creates a yet-unsolved challenge of modeling quantum systems by means of classical computing—the curse of dimensionality. Indeed, although we can easily write the Schrödinger equation for any system of interacting nuclei and electrons, we can only solve it exactly on classical computers for very small systems.",,,English,,,,,,,,Royal Society Of Chemistry Journals; NESLi2 Royal Society of Chemistry Gold Journals,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_osti_scitechconnect_1777846
Quantum computing: Efficient fault tolerance,"Gottesman, Daniel","Nature (London), 2016, Vol.540 (7631), p.44-45",,,England: Nature Publishing Group,,ISSN: 0028-0836; EISSN: 1476-4687; DOI: 10.1038/nature20479; PMID: 27851728,,Methods ;  Physics research ;  Quantum computing,,,,,,English,,,,,,,,Nature Publishing Group; Nature journals; Alma/SFX Local Collection,,,https://sussex.primo.exlibrisgroup.com/permalink/44SUS_INST/18j2vj2/cdi_proquest_miscellaneous_1841133682
